key,name
917,DE_51Ext_AbuDhabi x X1
918,DE_52Ext_OtherEmirates x X1
919,DE_50Ext_Sharjah x X2
92,DubaiResidentsBorderCrossingTripsPM
920,DE_51Ext_AbuDhabi x X2
921,DE_52Ext_OtherEmirates x X2
922,DE_50Ext_Sharjah x A x H1 
923,DE_50Ext_Sharjah x A x P1 
924,DE_50Ext_Sharjah x A x S1 
925,DE_50Ext_Sharjah x A x W1 
926,DE_51Ext_AbuDhabi x A x H1 
927,DE_51Ext_AbuDhabi x A x P1 
928,DE_51Ext_AbuDhabi x A x S1 
929,DE_51Ext_AbuDhabi x A x W1 
93,ThroughTraffic_AM_CarTaxi
930,DE_52Ext_OtherEmirates x A x H1 
931,DE_52Ext_OtherEmirates x A x P1 
932,DE_52Ext_OtherEmirates x A x S1 
933,DE_52Ext_OtherEmirates x A x W1 
934,DE_50Ext_Sharjah x C x H1 
935,DE_50Ext_Sharjah x C x P1 
936,DE_50Ext_Sharjah x C x S1 
937,DE_50Ext_Sharjah x C x W1 
938,DE_51Ext_AbuDhabi x C x H1 
939,DE_51Ext_AbuDhabi x C x P1 
94,ThroughTraffic_Lunch_CarTaxi
940,DE_51Ext_AbuDhabi x C x S1 
941,DE_51Ext_AbuDhabi x C x W1 
942,DE_52Ext_OtherEmirates x C x H1 
943,DE_52Ext_OtherEmirates x C x P1 
944,DE_52Ext_OtherEmirates x C x S1 
945,DE_52Ext_OtherEmirates x C x W1 
946,DE_50Ext_Sharjah x CP x H1 
947,DE_50Ext_Sharjah x CP x P1 
948,DE_50Ext_Sharjah x CP x S1 
949,DE_50Ext_Sharjah x CP x W1 
95,ThroughTraffic_PM_CarTaxi
950,DE_51Ext_AbuDhabi x CP x H1 
951,DE_51Ext_AbuDhabi x CP x P1 
952,DE_51Ext_AbuDhabi x CP x S1 
953,DE_51Ext_AbuDhabi x CP x W1 
954,DE_52Ext_OtherEmirates x CP x H1 
955,DE_52Ext_OtherEmirates x CP x P1 
956,DE_52Ext_OtherEmirates x CP x S1 
957,DE_52Ext_OtherEmirates x CP x W1 
958,DE_50Ext_Sharjah x PR x H1 
959,DE_50Ext_Sharjah x PR x P1 
960,DE_50Ext_Sharjah x PR x S1 
961,DE_50Ext_Sharjah x PR x W1 
962,DE_51Ext_AbuDhabi x PR x H1 
963,DE_51Ext_AbuDhabi x PR x P1 
964,DE_51Ext_AbuDhabi x PR x S1 
965,DE_51Ext_AbuDhabi x PR x W1 
966,DE_52Ext_OtherEmirates x PR x H1 
967,DE_52Ext_OtherEmirates x PR x P1 
968,DE_52Ext_OtherEmirates x PR x S1 
969,DE_52Ext_OtherEmirates x PR x W1 
970,DE_50Ext_Sharjah x T x H1 
971,DE_50Ext_Sharjah x T x P1 
972,DE_50Ext_Sharjah x T x S1 
973,DE_50Ext_Sharjah x T x W1 
974,DE_51Ext_AbuDhabi x T x H1 
975,DE_51Ext_AbuDhabi x T x P1 
976,DE_51Ext_AbuDhabi x T x S1 
977,DE_51Ext_AbuDhabi x T x W1 
978,DE_52Ext_OtherEmirates x T x H1 
979,DE_52Ext_OtherEmirates x T x P1 
980,DE_52Ext_OtherEmirates x T x S1 
981,DE_52Ext_OtherEmirates x T x W1 
982,DE_50Ext_Sharjah x X1 x H1 
983,DE_50Ext_Sharjah x X1 x P1 
984,DE_50Ext_Sharjah x X1 x S1 
985,DE_50Ext_Sharjah x X1 x W1 
986,DE_51Ext_AbuDhabi x X1 x H1 
987,DE_51Ext_AbuDhabi x X1 x P1 
988,DE_51Ext_AbuDhabi x X1 x S1 
989,DE_51Ext_AbuDhabi x X1 x W1 
990,DE_52Ext_OtherEmirates x X1 x H1 
991,DE_52Ext_OtherEmirates x X1 x P1 
992,DE_52Ext_OtherEmirates x X1 x S1 
993,DE_52Ext_OtherEmirates x X1 x W1 
994,DE_50Ext_Sharjah x X2 x H1 
995,DE_50Ext_Sharjah x X2 x P1 
996,DE_50Ext_Sharjah x X2 x S1 
997,DE_50Ext_Sharjah x X2 x W1 
998,DE_51Ext_AbuDhabi x X2 x H1 
999,DE_51Ext_AbuDhabi x X2 x P1 
